source_state,target_state,estimate,ci95_low,ci95_high,manual_cases,bootstrap_repetitions
wide_search,wide_search,0.2843690340848153,0.14920761930163817,0.44915744797933493,35,5000
wide_search,local_search,0.16225144254488516,0.023176683096900463,0.3165580012066058,35,5000
wide_search,creative_continuation_other,0.3692700401124006,0.19323549049274003,0.5432398461675016,35,5000
wide_search,non_creative_shift,0.0,0.0,0.0,35,5000
wide_search,conversation_end,0.18410948325789914,0.06246674690785194,0.3287050033450358,35,5000
local_search,wide_search,0.13745059111802688,0.030053127264535597,0.28875514657532314,26,5000
local_search,local_search,0.4807640714707303,0.28611755863839833,0.676425296334717,26,5000
local_search,creative_continuation_other,0.03171111230348232,0.0,0.10329619551980658,26,5000
local_search,non_creative_shift,0.129008602958273,0.029616105617555868,0.2657666982051207,26,5000
local_search,conversation_end,0.2210656221494876,0.05841947125403289,0.40288597916966845,26,5000
