run_type,run_length_bin,n,share
all_creative_activity,1,28200,0.5796386507985447
all_creative_activity,2,12070,0.24809356436661117
all_creative_activity,3,4066,0.08357484943783272
all_creative_activity,4,1722,0.03539495591046433
all_creative_activity,5,936,0.019239070111611273
all_creative_activity,6,540,0.01109946352592958
all_creative_activity,7,354,0.007276314978109391
all_creative_activity,8,763,0.015683130870896796
broad_exploration,1,27984,0.5990238890315952
broad_exploration,2,11196,0.23966092987413307
broad_exploration,3,3681,0.07879527356794246
broad_exploration,4,1524,0.03262265604931929
broad_exploration,5,817,0.017488654850586524
broad_exploration,6,482,0.01031766418357736
broad_exploration,7,322,0.006892713417244627
broad_exploration,8,710,0.015198219025601508
local_refinement,1,4212,0.8736776602364654
local_refinement,2,439,0.09105994606928024
local_refinement,3,105,0.021779713752333542
local_refinement,4,32,0.006637627048330222
local_refinement,5,14,0.002903961833644472
local_refinement,6,6,0.0012445550715619166
local_refinement,7,3,0.0006222775357809583
local_refinement,8,10,0.0020742584526031943
strict_brainstorming,1,12606,0.8046211782728027
strict_brainstorming,2,2159,0.13780557860471054
strict_brainstorming,3,529,0.03376523903746729
strict_brainstorming,4,174,0.011106146677730262
strict_brainstorming,5,81,0.005170102763770983
strict_brainstorming,6,41,0.0026169655964766707
strict_brainstorming,7,18,0.0011489117252824407
strict_brainstorming,8,59,0.0037658773217591115
