run_type,threshold,share
all_creative_activity,1,1.0
all_creative_activity,2,0.42036134920145524
all_creative_activity,3,0.1722677848348441
all_creative_activity,4,0.08869293539701137
all_creative_activity,5,0.05329797948654704
all_creative_activity,6,0.03405890937493577
all_creative_activity,7,0.022959445849006187
broad_exploration,1,1.0
broad_exploration,2,0.40097611096840485
broad_exploration,3,0.16131518109427176
broad_exploration,4,0.0825199075263293
broad_exploration,5,0.04989725147701002
broad_exploration,6,0.032408596626423494
broad_exploration,7,0.022090932442846135
local_refinement,1,1.0
local_refinement,2,0.12632233976353455
local_refinement,3,0.0352623936942543
local_refinement,4,0.013482679941920763
local_refinement,5,0.006845052893590542
local_refinement,6,0.00394109105994607
local_refinement,7,0.0026965359883841526
strict_brainstorming,1,1.0
strict_brainstorming,2,0.19537882172719728
strict_brainstorming,3,0.05757324312248675
strict_brainstorming,4,0.023808004085019468
strict_brainstorming,5,0.012701857407289206
strict_brainstorming,6,0.007531754643518223
strict_brainstorming,7,0.004914789047041552
