stage,state,estimated_n,share
state_t1,creative_continuation_other,180.32500000000002,0.05895623033225715
state_t1,local_search,1397.775,0.45699456455106463
state_t1,non_creative_shift,315.05,0.10300380072745106
state_t1,wide_search,1165.4750000000001,0.38104540438922724
state_t2,conversation_end,615.25,0.2011524786464506
state_t2,creative_continuation_other,117.775,0.038505864563325026
state_t2,local_search,266.175,0.08702439821815358
state_t2,non_creative_shift,1180.45,0.3859413952347869
state_t2,wide_search,878.975,0.28737586333728393
state_t3,conversation_end,1439.95,0.4707834402713637
state_t3,local_search,136.60000000000002,0.044660590951816584
state_t3,non_creative_shift,1072.05,0.3505006334545751
state_t3,wide_search,410.02500000000003,0.13405533532224445
