transition,source,target,estimated_n
start_to_state_t1,genuine_multiple_option_response,creative_continuation_other,180.32500000000002
start_to_state_t1,genuine_multiple_option_response,local_search,1397.775
start_to_state_t1,genuine_multiple_option_response,non_creative_shift,315.05
start_to_state_t1,genuine_multiple_option_response,wide_search,1165.4750000000001
state_t1_to_state_t2,creative_continuation_other,conversation_end,44.325
state_t1_to_state_t2,creative_continuation_other,creative_continuation_other,44.325
state_t1_to_state_t2,creative_continuation_other,non_creative_shift,47.35
state_t1_to_state_t2,creative_continuation_other,wide_search,44.325
state_t1_to_state_t2,local_search,conversation_end,309.0
state_t1_to_state_t2,local_search,local_search,170.875
state_t1_to_state_t2,local_search,non_creative_shift,634.1
state_t1_to_state_t2,local_search,wide_search,283.8
state_t1_to_state_t2,non_creative_shift,conversation_end,47.35
state_t1_to_state_t2,non_creative_shift,creative_continuation_other,73.45
state_t1_to_state_t2,non_creative_shift,local_search,47.35
state_t1_to_state_t2,non_creative_shift,non_creative_shift,73.45
state_t1_to_state_t2,non_creative_shift,wide_search,73.45
state_t1_to_state_t2,wide_search,conversation_end,214.57500000000002
state_t1_to_state_t2,wide_search,local_search,47.95
state_t1_to_state_t2,wide_search,non_creative_shift,425.55
state_t1_to_state_t2,wide_search,wide_search,477.40000000000003
state_t2_to_state_t3,conversation_end,conversation_end,615.25
state_t2_to_state_t3,creative_continuation_other,conversation_end,117.775
state_t2_to_state_t3,local_search,conversation_end,120.80000000000001
state_t2_to_state_t3,local_search,non_creative_shift,97.42500000000001
state_t2_to_state_t3,local_search,wide_search,47.95
state_t2_to_state_t3,non_creative_shift,conversation_end,275.02500000000003
state_t2_to_state_t3,non_creative_shift,local_search,23.975
state_t2_to_state_t3,non_creative_shift,non_creative_shift,710.575
state_t2_to_state_t3,non_creative_shift,wide_search,170.875
state_t2_to_state_t3,wide_search,conversation_end,311.1
state_t2_to_state_t3,wide_search,local_search,112.625
state_t2_to_state_t3,wide_search,non_creative_shift,264.05
state_t2_to_state_t3,wide_search,wide_search,191.20000000000002
